Object,Synset,Count,Unique Articles,Unique Activities,Priority
water,Synset('water.n.06'),3411,383,113,1.2033837764873436
paper,Synset('newspaper.n.03'),729,212,91,0.7586906398874211
towel,Synset('towel.n.01'),748,226,82,0.7196976291029222
light,Synset('light.n.02'),755,169,82,0.6707155004171113
cup,Synset('cup.n.01'),711,219,79,0.6938615537062421
bag,Synset('bag.n.01'),962,164,76,0.6445031169207533
box,Synset('box.n.01'),829,135,76,0.6110017122401797
case,Synset('case.n.05'),225,129,75,0.5620338286426112
door,Synset('door.n.01'),407,141,73,0.5722462983781336
container,Synset('container.n.01'),495,121,70,0.5429927722542339
cloth,Synset('fabric.n.01'),845,206,69,0.6328700723365834
soap,Synset('soap.n.01'),627,182,65,0.5751072404282447
bottle,Synset('bottle.n.01'),306,145,65,0.5228566643003687
dish,Synset('dish.n.01'),600,158,64,0.5467875256611138
glass,Synset('glass.n.02'),360,136,64,0.512632268051595
table,Synset('table.n.02'),300,93,63,0.4657650492937912
sheet,Synset('sheet.n.03'),305,88,58,0.4326741907592581
cleaner,Synset('cleansing_agent.n.01'),865,173,56,0.5299326363164778
bowl,Synset('bowl.n.01'),484,155,55,0.48457206686432414
brush,Synset('brush.n.02'),486,138,55,0.4699578500804343
oil,Synset('vegetable_oil.n.01'),402,113,54,0.4371895564287306
spray,Synset('atomizer.n.01'),310,138,53,0.4472711934964014
window,Synset('window.n.01'),769,123,52,0.4572921759665808
wood,Synset('wood.n.01'),237,86,51,0.38596971358250376
tape,Synset('tape.n.01'),376,97,47,0.3809853707209252
vinegar,Synset('vinegar.n.01'),786,168,46,0.4624939707547874
handle,Synset('handle.n.01'),117,61,44,0.31605568203544027
rag,Synset('rag.n.01'),289,102,43,0.3565982758839863
clothes,Synset('apparel.n.01'),592,96,43,0.37043460653507887
lid,Synset('lid.n.02'),205,81,43,0.33311214381314025
knife,Synset('knife.n.01'),218,71,43,0.3252584630415557
detergent,Synset('detergent.n.02'),360,105,41,0.3520327251022739
laundry,Synset('laundry.n.01'),249,74,41,0.31817956007636855
car,Synset('car.n.01'),477,64,41,0.3238351472909605
fabric,Synset('fabric.n.01'),383,81,40,0.32685470056448646
soda,Synset('pop.n.02'),686,128,39,0.3808308349526405
vacuum,Synset('vacuum.n.04'),355,89,39,0.32621781673265315
clothing,Synset('clothing.n.01'),316,82,39,0.31769793419191555
plate,Synset('plate.n.04'),118,53,39,0.28011233221319554
salt,Synset('salt.n.02'),261,85,38,0.3110292775206299
tablespoon,Synset('tablespoon.n.02'),194,88,37,0.3036066151943019
pad,Synset('pad.n.04'),112,59,37,0.27330973454765844
coat,Synset('coat.n.01'),84,57,37,0.2698162839729834
sink,Synset('sink.n.01'),294,73,36,0.2910702618177957
furniture,Synset('furniture.n.01'),411,61,36,0.28801719267700265
rack,Synset('rack.n.01'),368,82,35,0.29770947807694437
screw,Synset('screw.n.02'),285,61,35,0.2742861798106852
bubble,Synset('bubble.n.01'),143,60,35,0.2644967275362286
shoe,Synset('shoe.n.01'),960,86,34,0.3325613449964835
bucket,Synset('bucket.n.01'),199,81,34,0.2804095595902702
juice,Synset('juice.n.01'),206,78,34,0.2782482401530141
wire,Synset('wire.n.02'),381,72,34,0.28404184381698766
pencil,Synset('pencil.n.01'),145,63,34,0.2614095977263944
button,Synset('push_button.n.01'),150,62,34,0.2608567147262073
shelf,Synset('shelf.n.01'),207,54,33,0.25168787191431563
screwdriver,Synset('screwdriver.n.01'),109,47,33,0.23946079490295286
nail,Synset('nail.n.02'),136,46,33,0.2402902556036769
board,Synset('board.n.03'),174,43,33,0.24007678410861372
lemon,Synset('lemon.n.01'),220,77,32,0.2666329544173647
paint,Synset('paint.n.01'),390,57,32,0.25997366073470446
fan,Synset('fan.n.01'),126,54,32,0.24078438025440724
package,Synset('package.n.02'),79,46,32,0.23089477525385332
frame,Synset('frame.n.10'),307,67,31,0.2576150216968362
hose,Synset('hose.n.03'),148,55,31,0.2372198224900676
cotton,Synset('cotton.n.04'),101,50,31,0.22993137355887788
wrap,Synset('wrapping.n.01'),137,49,31,0.23132633850088374
counter,Synset('buffet.n.01'),76,44,31,0.22315821630547786
pot,Synset('pot.n.01'),404,77,30,0.26656646748460416
refrigerator,Synset('refrigerator.n.01'),180,64,30,0.24122001895656778
book,Synset('book.n.02'),201,56,30,0.2356031126679209
drawer,Synset('drawer.n.01'),370,50,30,0.24101971350437323
ball,Synset('ball.n.01'),437,46,30,0.2417613703192078
ice,Synset('ice.n.02'),154,45,30,0.22311235159800286
foil,Synset('foil.n.01'),75,38,30,0.2120791168737906
pan,Synset('pan.n.01'),376,75,29,0.257259063421557
toothbrush,Synset('toothbrush.n.01'),158,61,29,0.2314225656979204
sock,Synset('sock.n.01'),165,50,29,0.22232483007569323
date,Synset('date.n.08'),93,45,29,0.21346553602983181
lint,Synset('lint.n.02'),150,40,29,0.21271180277567633
powder,Synset('powder.n.03'),141,52,28,0.2167369693234791
pant,Synset('trouser.n.01'),216,50,28,0.21971540062125142
cream,Synset('cream.n.02'),100,49,28,0.21155962726605337
drain,Synset('drain.n.03'),315,46,28,0.22246773918286578
newspaper,Synset('newspaper.n.03'),87,44,28,0.20640752769081716
string,Synset('string.n.01'),129,40,28,0.20557833939098002
cap,Synset('cap.n.02'),106,40,28,0.20413316188548208
hook,Synset('hook.n.05'),377,51,27,0.2248847416944864
coffee,Synset('coffee.n.01'),320,45,27,0.21610090269430662
sleeve,Synset('sleeve.n.01'),87,35,27,0.19279010599435256
stick,Synset('stick.n.01'),64,35,27,0.1913449284888546
vegetable,Synset('vegetable.n.01'),179,49,26,0.2048955908516717
tea,Synset('tea.n.01'),406,47,26,0.2174247604466479
basket,Synset('basket.n.01'),306,45,26,0.20940727594171837
shirt,Synset('shirt.n.01'),257,45,26,0.20632841951696185
bed,Synset('bed.n.01'),162,42,26,0.19775805201184524
block,Synset('block.n.01'),53,31,26,0.1813715950575414
oven,Synset('oven.n.01'),979,72,25,0.2692908775645857
teaspoon,Synset('teaspoon.n.02'),118,59,25,0.20391929551471458
stone,Synset('rock.n.01'),108,42,25,0.1885510730757823
nut,Synset('nut.n.03'),176,37,25,0.1884885116720824
tray,Synset('tray.n.01'),77,37,25,0.18226796501798248
band,Synset('band.n.07'),61,35,25,0.17952852009834983
pen,Synset('pen.n.01'),53,32,25,0.1764246935922907
fire,Synset('fire.n.04'),72,31,25,0.1767514838563198
washer,Synset('washer.n.03'),60,31,25,0.1759974782012774
paste,Synset('spread.n.05'),382,70,24,0.22423103869161082
stove,Synset('stove.n.01'),311,56,24,0.2076311102422438
spoon,Synset('spoon.n.01'),98,55,24,0.19338045784211957
tub,Synset('bathtub.n.01'),323,44,24,0.19798049161982956
cube,Synset('cube.n.05'),95,41,24,0.18105322810465954
clip,Synset('clip.n.03'),96,40,24,0.18024900988612502
wool,Synset('wool.n.01'),84,39,24,0.17862795220796124
t-shirt,Synset('jersey.n.03'),72,38,24,0.17700689452979743
blanket,Synset('blanket.n.01'),88,37,24,0.1771451833800659
garbage,Synset('garbage.n.03'),82,37,24,0.17676818055254473
wheel,Synset('wheel.n.01'),196,34,24,0.1813300782060835
kit,Synset('kit.n.02'),61,32,24,0.17111341054061355
nozzle,Synset('nozzle.n.01'),50,30,24,0.16868813464391524
fruit,Synset('fruit.n.01'),276,47,23,0.1918145053852388
bath,Synset('bath.n.01'),217,42,23,0.1837720507990067
pack,Synset('pack.n.03'),96,40,23,0.17443505639775292
packaging,Synset('packaging.n.03'),69,40,23,0.17273854367390748
wax,synset('wax.n.01'),172,39,23,0.17834337352323348
blade,Synset('blade.n.09'),117,38,23,0.17402046224783438
tree,Synset('tree.n.01'),558,37,23,0.20086311804752166
fridge,Synset('electric_refrigerator.n.01'),132,37,23,0.17409591729351598
polish,Synset('polish.n.03'),141,36,23,0.17379436951167643
iron,Synset('iron.n.04'),152,34,23,0.17275143731588918
can,Synset('can.n.01'),65,33,23,0.16641784429371032
mesh,Synset('net.n.06'),59,31,23,0.16430673741994634
spring,Synset('spring.n.02'),51,30,23,0.16293701496013
egg,Synset('egg.n.02'),526,50,22,0.20431015911294784
carpet,Synset('rug.n.01'),593,47,22,0.20591886795090383
foam,Synset('foam.n.01'),76,39,22,0.1664973747945221
butter,Synset('butter.n.01'),99,38,22,0.1670755002768987
bristle,Synset('bristle.n.01'),67,37,22,0.16419776650699752
dishwasher,Synset('dishwasher.n.01'),151,34,22,0.16687465002293025
orange,Synset('orange.n.01'),40,31,22,0.15729894164442376
citrus,Synset('citrus.n.01'),38,27,22,0.15370506594276448
milk,Synset('milk.n.01'),148,41,21,0.16694155928264726
meat,Synset('meat.n.01'),222,38,21,0.1689901047527113
wine,Synset('wine.n.01'),76,37,21,0.15894931725990724
dryer,Synset('dryer.n.01'),141,36,21,0.16216646253493225
seal,Synset('seal.n.08'),89,36,21,0.1588991046964151
hanger,Synset('hanger.n.02'),193,35,21,0.16456676835032796
cleanser,Synset('cleansing_agent.n.01'),80,35,21,0.1574665484320119
grain,Synset('grain.n.01'),123,32,21,0.15756724595988308
chair,Synset('chair.n.01'),73,32,21,0.15442555573053968
apple,Synset('apple.n.01'),63,32,21,0.153797217684671
shade,Synset('shade.n.03'),186,31,21,0.16065872362573436
cord,Synset('cord.n.01'),76,30,21,0.15287995309805752
sauce,Synset('sauce.n.01'),76,30,21,0.15287995309805752
plug,Synset('plug.n.01'),310,29,21,0.1667160113482632
toy,Synset('plaything.n.01'),106,28,21,0.15303086318942077
sugar,Synset('sugar.n.01'),236,59,20,0.1822639170141045
closet,Synset('wardrobe.n.01'),261,35,20,0.16302551357386288
microwave,Synset('microwave.n.02'),149,34,20,0.1551210754370123
acid,Synset('acid.n.02'),71,33,20,0.14935298665611524
pin,Synset('pin.n.09'),81,29,20,0.14651311660949837
fork,Synset('fork.n.01'),56,29,20,0.1449422714948267
pillow,Synset('pillow.n.01'),67,28,20,0.14476639132216085
green,Synset('greens.n.01'),68,27,20,0.14396217310362633
holder,Synset('holder.n.01'),53,26,20,0.14215261401170193
mask,Synset('mask.n.04'),43,26,20,0.14152427596583325
vehicle,Synset('vehicle.n.01'),144,24,20,0.14613638618286412
photo,Synset('photograph.n.01'),237,36,19,0.15657060079852736
panel,Synset('panel.n.01'),184,33,19,0.15063925308605922
alcohol,Synset('alcohol.n.01'),86,33,19,0.1444815402365462
mold,Synset('mold.n.06'),60,33,19,0.1428478613172876
liner,Synset('lining.n.01'),125,25,19,0.13999564243046292
tube,Synset('tube.n.01'),111,24,19,0.13824891714312537
card,Synset('card.n.01'),50,24,19,0.13441605506332643
marker,Synset('marker.n.03'),32,23,19,0.13241799455764144
seat,Synset('seat.n.03'),53,20,19,0.1311363483846015
underwear,Synset('underwear.n.01'),58,33,18,0.1369082402197418
dress,Synset('dress.n.01'),110,32,18,0.13930854603513754
freezer,Synset('deep-freeze.n.01'),247,31,18,0.147049725240417
tie,Synset('necktie.n.01'),57,31,18,0.13511130236891214
jacket,Synset('jacket.n.01'),93,29,18,0.1356392152877966
outlet,Synset('wall_socket.n.01'),54,26,18,0.1305875408395446
washcloth,Synset('washcloth.n.01'),36,24,18,0.1277224283107382
shower,Synset('shower.n.01'),124,35,17,0.13697542188034573
tank,Synset('tank.n.02'),127,29,17,0.13196161115537802
rug,Synset('rug.n.01'),80,29,17,0.12900842233979523
switch,Synset('switch.n.01'),61,28,17,0.12694752802952336
coating,Synset('coating.n.01'),42,28,17,0.12575368574237286
mat,Synset('mat.n.01'),77,27,17,0.12708581687979184
toilet,Synset('toilet.n.02'),206,26,17,0.1343243256483764
candy,Synset('candy.n.01'),40,26,17,0.12389391408695635
bread,Synset('bread.n.01'),72,24,17,0.12417049178749334
crumb,Synset('crumb.n.03'),39,22,17,0.12036287218988394
picture,Synset('picture.n.01'),478,44,16,0.1612081034238173
jar,Synset('jar.n.01'),356,35,16,0.14573891105612696
phone,Synset('telephone.n.01'),80,29,16,0.12319446885142313
sweater,Synset('sweater.n.01'),69,29,16,0.1225032970009676
faucet,Synset('faucet.n.01'),60,29,16,0.12193779275968578
skirt,Synset('skirt.n.02'),86,27,16,0.12183736763270156
cheese,Synset('cheese.n.01'),87,26,16,0.12103314941416704
pasta,Synset('pasta.n.02'),129,22,16,0.12020396111432995
file,Synset('file.n.03'),55,20,16,0.11382015552865896
roller,Synset('roller.n.04'),52,20,16,0.11363165411489835
vent,Synset('vent.n.01'),76,16,16,0.11167145733249763
curtain,Synset('curtain.n.01'),755,40,15,0.16933090571352202
filter,Synset('filter.n.01'),307,33,15,0.1351119970967556
drill,Synset('drill.n.01'),121,30,15,0.12082375337423401
rim,Synset('brim.n.01'),103,29,15,0.11882569286854901
ribbon,Synset('ribbon.n.01'),136,28,15,0.12003215639679427
linen,Synset('linen.n.01'),70,28,15,0.11588512529406099
jean,Synset('jean.n.01'),86,26,15,0.11515636212120808
broom,Synset('broom.n.01'),69,26,15,0.11408818744323135
bin,Synset('bin.n.01'),61,25,15,0.112718464983415
bolt,Synset('bolt.n.06'),127,22,15,0.11426434001678412
scissors,Synset('scissors.n.01'),31,21,15,0.10736524275332343
silk,Synset('silk.n.01'),40,20,15,0.10706369497148385
countertop,Synset('countertop.n.01'),31,20,15,0.10649819073020204
tile,Synset('tile.n.01'),401,34,14,0.13607147326267044
spatula,Synset('spatula.n.02'),61,34,14,0.1147079797031354
salad,Synset('salad.n.01'),229,30,14,0.12179585078124364
chocolate,Synset('chocolate.n.02'),101,28,14,0.1120190197478818
jewelry,Synset('jewelry.n.01'),90,24,14,0.1078596398049407
backpack,Synset('backpack.n.01'),54,23,14,0.10473057081669207
hammer,Synset('mallet.n.02'),38,23,14,0.10372522994330219
boot,Synset('boot.n.01'),59,22,14,0.10417768781650502
strap,Synset('strap.n.01'),57,22,14,0.10405202020733129
eraser,Synset('eraser.n.01'),55,22,14,0.10392635259815755
cable,Synset('cable.n.02'),104,21,14,0.10613815699979268
olive,Synset('olive.n.04'),38,21,14,0.10199112589705941
timer,Synset('timer.n.01'),30,18,14,0.09888729939100031
cutter,Synset('cutter.n.06'),38,17,14,0.09852291780457387
knob,Synset('knob.n.01'),67,16,14,0.09947804611447164
grass,Synset('eatage.n.01'),20,15,14,0.09565780527576748
hat,Synset('hat.n.01'),20,15,14,0.09565780527576748
rod,Synset('rod.n.01'),415,37,13,0.13373834910787863
mop,Synset('swab.n.02'),196,29,13,0.11304132971838352
computer,Synset('computer.n.01'),124,26,13,0.10591613971876487
bathtub,Synset('bathtub.n.01'),75,26,13,0.10283728329400835
scum,Synset('scum.n.02'),41,24,13,0.09896682989181207
pool,Synset('pool.n.01'),295,23,13,0.11405956423375509
burner,Synset('burner.n.02'),122,23,13,0.10318931604022698
candle,Synset('candle.n.01'),42,20,13,0.0955614556039134
baseboard,Synset('baseboard.n.01'),40,18,13,0.09370168394849689
ventilation,Synset('ventilation.n.02'),24,18,13,0.092696343075107
disinfectant,Synset('disinfectant.n.01'),21,17,13,0.09164078963822501
scrubber,Synset('scrub_brush.n.01'),40,16,13,0.09196757990225411
stool,Synset('stool.n.01'),23,16,13,0.09089940522427736
gel,Synset('gelatin.n.03'),18,16,13,0.09058523620134303
formula,Synset('formula.n.06'),87,15,13,0.09405371669471552
lock,Synset('lock.n.01'),51,13,13,0.0900575956833455
staple,Synset('staple.n.04'),15,13,13,0.08779557871821825
cake,Synset('cake.n.03'),213,26,12,0.10569439483862401
garment,Synset('garment.n.01'),164,23,12,0.10001438234450333
suitcase,Synset('bag.n.06'),105,23,12,0.09630718787387813
thermometer,Synset('thermometer.n.01'),31,23,12,0.09165748633444992
shampoo,Synset('shampoo.n.01'),51,22,12,0.09204711040306589
fish,Synset('fish.n.02'),165,21,12,0.09834311210284742
battery,Synset('battery.n.02'),134,18,12,0.09379410809129037
cupboard,Synset('cupboard.n.01'),43,17,12,0.08720917985076401
chip,Synset('chip.n.04'),39,17,12,0.08695784463241654
mirror,Synset('mirror.n.01'),21,17,12,0.08582683614985293
stand,Synset('stand.n.04'),34,16,12,0.08577662358636082
tag,Synset('rag.n.01'),30,16,12,0.08552528836801335
conditioner,Synset('conditioner.n.03'),19,16,12,0.0848341165175578
cookie,Synset('cookie.n.01'),93,14,12,0.08774971401074325
berry,Synset('berry.n.01'),26,14,12,0.0835398491034231
glove,Synset('glove.n.02'),17,13,12,0.08210729283901991
screen,Synset('screen.n.01'),177,28,11,0.09935252843136747
kettle,Synset('kettle.n.01'),54,22,11,0.0864216583284544
toothpaste,Synset('toothpaste.n.01'),73,21,11,0.0867484485924835
toiletry,Synset('toiletry.n.01'),65,20,11,0.08537872613266717
sandwich,Synset('sandwich.n.01'),47,20,11,0.08424771765010355
carrot,Synset('carrot.n.03'),21,18,11,0.08087993468460222
ruler,Synset('rule.n.12'),32,17,11,0.08070405451193638
honey,Synset('honey.n.01'),29,17,11,0.08051555309817578
dishcloth,Synset('dishrag.n.01'),46,16,11,0.08071667575303114
disposal,Synset('disposal.n.04'),41,16,11,0.0804025067300968
rice,Synset('rice.n.01'),34,16,11,0.07996267009798873
peanut,Synset('peanut.n.04'),27,14,11,0.07778872941963788
soil,Synset('land.n.02'),36,12,11,0.07662012961467692
dial,Synset('dial.n.01'),30,12,11,0.0762431267871557
knot,Synset('knot.n.02'),26,12,11,0.07599179156880823
tire,Synset('tire.n.01'),462,20,10,0.10450979306528158
socket,Synset('socket.n.02'),110,19,10,0.08152524182758274
porcelain,Synset('porcelain.n.01'),41,19,10,0.07718970931108887
onion,Synset('onion.n.03'),54,18,10,0.07713949674759676
scraper,Synset('scraper.n.01'),47,18,10,0.07669966011548868
thread,Synset('thread.n.01'),41,17,10,0.0754556052648461
belt,Synset('belt.n.02'),27,17,10,0.07457593200062994
desk,Synset('desk.n.01'),39,16,10,0.07446288563255096
pipe,Synset('pipe.n.02'),45,15,10,0.0739728364369508
bell,Synset('bell.n.01'),28,15,10,0.07290466175897403
tablet,Synset('pill.n.02'),28,14,10,0.07203760973585265
duster,Synset('dustcloth.n.01'),28,13,10,0.07117055771273126
magazine,Synset('magazine.n.02'),27,13,10,0.07110772390814439
needle,Synset('needle.n.03'),24,13,10,0.07091922249438379
grill,Synset('grill.n.02'),99,12,10,0.07476470581527749
pole,Synset('pole.n.01'),53,12,10,0.07187435080428156
bead,Synset('bead.n.01'),44,12,10,0.07130884656299975
rail,Synset('rail.n.04'),44,12,10,0.07130884656299975
collar,Synset('collar.n.01'),43,12,10,0.07124601275841289
banana,Synset('banana.n.02'),28,12,10,0.07030350568960987
rock,Synset('rock.n.01'),17,12,10,0.06961233383915433
cherry,Synset('cherry.n.03'),39,11,10,0.07012762551694403
scoop,Synset('scoop.n.06'),23,11,10,0.06912228464355415
fastener,Synset('fastener.n.02'),21,11,10,0.06899661703438041
skewer,Synset('skewer.n.01'),19,11,10,0.06887094942520668
trap,Synset('trap.n.02'),62,10,10,0.0707057509993206
bulb,Synset('light_bulb.n.01'),361,22,9,0.0940837293598786
saucepan,Synset('saucepan.n.01'),50,20,9,0.07280831208711996
lace,Synset('lace.n.01'),72,18,9,0.07245655174178829
bean,Synset('bean.n.01'),55,18,9,0.07138837706381154
dresser,Synset('chest_of_drawers.n.01'),64,16,9,0.07021977725885056
chicken,Synset('chicken.n.01'),56,16,9,0.06971710682215562
soup,Synset('soup.n.01'),48,16,9,0.06921443638546068
pump,Synset('pump.n.01'),59,15,9,0.06903855621279484
razor,Synset('razor.n.01'),47,15,9,0.06828455055775243
ladder,Synset('ladder.n.01'),41,15,9,0.06790754773023122
popcorn,Synset('popcorn.n.02'),21,15,9,0.06665087163849387
wrapping,Synset('wrapping.n.01'),54,14,9,0.06785733516673911
peach,Synset('peach.n.03'),48,14,9,0.06748033233921791
straw,Synset('straw.n.04'),39,14,9,0.0669148280979361
spice,Synset('spice.n.02'),24,14,9,0.06597232102913309
grate,Synset('grate.n.01'),89,13,9,0.0691894663041581
tv,Synset('television_receiver.n.01'),84,13,9,0.06887529728122377
zipper,Synset('slide_fastener.n.01'),26,13,9,0.06523093661518543
lotion,Synset('lotion.n.02'),19,13,9,0.06479109998307736
gauge,Synset('gauge.n.01'),62,12,9,0.06662590155719128
syrup,Synset('syrup.n.01'),41,12,9,0.06530639166086706
breaker,Synset('circuit_breaker.n.01'),35,12,9,0.06492938883334586
lime,Synset('lime.n.06'),23,12,9,0.06417538317830344
avocado,Synset('avocado.n.01'),21,12,9,0.06404971556912971
crayon,Synset('crayon.n.01'),16,12,9,0.06373554654619537
mint,Synset('mint.n.05'),17,11,9,0.06293132832766085
zip,Synset('slide_fastener.n.01'),15,11,9,0.06280566071848712
bookshelf,Synset('bookshelf.n.01'),14,11,9,0.06274282691390025
bedding,Synset('bedclothes.n.01'),34,10,9,0.06313245098251621
wiring,Synset('wiring.n.01'),20,10,9,0.06225277771830007
hinge,Synset('hinge.n.01'),19,10,9,0.0621899439137132
rose,Synset('blush_wine.n.01'),11,10,9,0.06168727347701826
drawing,Synset('drawing.n.02'),11,10,9,0.06168727347701826
flour,Synset('flour.n.01'),82,21,8,0.06987209236864902
anchor,Synset('anchor.n.01'),115,20,8,0.07107855589689427
strainer,Synset('strainer.n.01'),65,20,8,0.06793686566755089
vanilla,Synset('vanilla.n.02'),36,18,8,0.06438058128828895
sneaker,Synset('gym_shoe.n.01'),29,18,8,0.06394074465618088
bow,Synset('bow.n.08'),36,17,8,0.06351352926516757
bracket,Synset('bracket.n.04'),242,16,8,0.07559024098694093
suit,Synset('suit.n.01'),51,15,8,0.06272193228772781
luggage,Synset('baggage.n.01'),26,13,8,0.05941698312681334
heel,Synset('heel.n.01'),20,13,8,0.05903998029929213
pajama,Synset('pajama.n.02'),16,13,8,0.05878864508094466
mug,Synset('mug.n.04'),71,12,8,0.061377452310101
drywall,Synset('wallboard.n.01'),32,12,8,0.058926933931213156
ceramic,Synset('ceramic.n.01'),19,12,8,0.05811009447158388
funnel,Synset('funnel.n.02'),15,12,8,0.05785875925323641
cushion,Synset('cushion.n.03'),13,12,8,0.05773309164406267
lever,Synset('lever.n.01'),37,11,8,0.05837405093102611
dustpan,Synset('dustpan.n.02'),23,11,8,0.05749437766680996
tin,Synset('tin.n.02'),17,11,8,0.057117374839288755
cinnamon,Synset('cinnamon.n.03'),17,11,8,0.057117374839288755
notch,Synset('notch.n.03'),14,11,8,0.05692887342552815
couch,Synset('sofa.n.01'),14,11,8,0.05692887342552815
slack,Synset('slack.n.06'),13,11,8,0.056866039620941285
steamer,Synset('steamer.n.02'),30,10,8,0.05706716227579665
twine,Synset('string.n.01'),25,10,8,0.05675299325286231
pillowcase,Synset('case.n.19'),24,10,8,0.05669015944827544
watch,Synset('watch.n.01'),24,10,8,0.05669015944827544
dip,Synset('dip.n.04'),18,10,8,0.056313156620754236
pear,Synset('pear.n.01'),17,10,8,0.05625032281616737
packet,Synset('packet.n.03'),14,10,8,0.056061821402406765
perfume,Synset('perfume.n.02'),10,10,8,0.055810486184059295
chest,Synset('chest.n.02'),28,9,8,0.056074442643501525
basin,Synset('basin.n.01'),23,9,8,0.05576027362056719
breast,Synset('breast.n.03'),16,9,8,0.055320436988459114
corn,Synset('corn.n.03'),14,9,8,0.05519476937928538
cider,Synset('cider.n.01'),13,9,8,0.05513193557469851
parsley,Synset('parsley.n.02'),13,9,8,0.05513193557469851
pouch,Synset('pouch.n.01'),24,8,8,0.05495605540203267
gum,Synset('chewing_gum.n.01'),16,8,8,0.05445338496533773
jug,Synset('jug.n.01'),14,8,8,0.05432771735616399
tarp,Synset('tarpaulin.n.01'),12,8,8,0.054202049746990257
quilt,Synset('quilt.n.01'),11,8,8,0.05413921594240339
cutlery,Synset('cutlery.n.02'),8,8,8,0.053950714528642786
ornament,Synset('decoration.n.01'),198,17,7,0.06787865211986804
lettuce,Synset('lettuce.n.03'),32,14,7,0.05484708448908385
deodorant,Synset('deodorant.n.01'),15,14,7,0.05377890981110709
pepper,Synset('pepper.n.03'),52,13,7,0.05523670855769981
wrench,Synset('wrench.n.03'),51,13,7,0.055173874753112945
lamp,Synset('lamp.n.02'),31,13,7,0.053917198661375586
whisk,Synset('whisk.n.01'),24,13,7,0.05347736202926751
spinach,Synset('spinach.n.02'),18,13,7,0.05310035920174631
coil,Synset('coil.n.01'),56,12,7,0.054620991752925896
mayonnaise,Synset('mayonnaise.n.01'),29,12,7,0.052924479029080464
potato,Synset('potato.n.01'),88,11,7,0.05576462147658427
truck,Synset('truck.n.01'),78,11,7,0.055136283430715596
club,Synset('golf_club.n.02'),50,11,7,0.0533769369022833
folder,Synset('folder.n.02'),36,11,7,0.05249726363806715
enamel,Synset('enamel.n.04'),32,11,7,0.05224592841971968
photograph,Synset('photograph.n.01'),20,11,7,0.05149192276467727
coconut,Synset('coconut.n.01'),19,11,7,0.0514290889600904
net,Synset('net.n.06'),32,10,7,0.05137887639659829
notebook,Synset('notebook.n.01'),19,10,7,0.050562036936969014
tomato,Synset('tomato.n.01'),14,10,7,0.050247867914034676
broccoli,Synset('broccoli.n.02'),13,10,7,0.05018503410944781
mattress,Synset('mattress.n.01'),53,9,7,0.05183133426980113
binder,Synset('binder.n.03'),43,9,7,0.05120299622393245
blender,Synset('blender.n.01'),39,9,7,0.05095166100558498
painting,Synset('painting.n.01'),36,9,7,0.050763159591824376
brick,Synset('brick.n.01'),26,9,7,0.0501348215459557
pill,Synset('pill.n.01'),20,9,7,0.049757818718434495
jelly,Synset('gelatin.n.02'),19,9,7,0.04969498491384763
beef,Synset('beef.n.02'),17,9,7,0.04956931730467389
rope,Synset('rope.n.01'),15,9,7,0.04944364969550016
raspberry,Synset('raspberry.n.02'),14,9,7,0.04938081589091329
crust,Synset('crust.n.02'),14,9,7,0.04938081589091329
mallet,Synset('mallet.n.03'),13,9,7,0.04931798208632642
stepladder,Synset('step_ladder.n.01'),12,9,7,0.049255148281739554
purse,Synset('bag.n.04'),10,9,7,0.04912948067256582
laminate,Synset('laminate.n.01'),40,8,7,0.05014744278705046
skillet,Synset('frying_pan.n.01'),38,8,7,0.050021775177876725
throw,Synset('throw.n.04'),25,8,7,0.049204935718247446
pie,Synset('pie.n.01'),20,8,7,0.04889076669531311
yogurt,Synset('yogurt.n.01'),18,8,7,0.04876509908613937
bookcase,Synset('bookcase.n.01'),16,8,7,0.04863943147696564
comb,Synset('comb.n.01'),11,8,7,0.0483252624540313
blower,Synset('blower.n.01'),11,8,7,0.0483252624540313
undergarment,Synset('undergarment.n.01'),10,8,7,0.04826242864944443
casserole,Synset('casserole.n.02'),10,8,7,0.04826242864944443
radio,Synset('radio_receiver.n.01'),9,8,7,0.048199594844857564
document,Synset('document.n.02'),32,7,7,0.04877772032723413
stop,Synset('blockage.n.02'),21,7,7,0.04808654847677859
legging,Synset('legging.n.01'),17,7,7,0.04783521325843112
drape,Synset('curtain.n.01'),11,7,7,0.04745821043090991
dressing,Synset('dressing.n.01'),127,17,6,0.05760349850582834
cocoa,Synset('cocoa.n.02'),36,15,6,0.05015151824218061
garland,Synset('wreath.n.01'),58,14,6,0.05066680991997031
garlic,Synset('garlic.n.02'),28,13,6,0.04791474375924289
stud,Synset('scantling.n.01'),38,12,6,0.047676029781990176
cranberry,Synset('cranberry.n.02'),19,12,6,0.04648218749483969
printer,Synset('printer.n.03'),461,11,6,0.07338767709911384
shell,Synset('shell.n.05'),29,11,6,0.04624347351758698
ginger,Synset('ginger.n.02'),22,11,6,0.04580363688547891
sunglass,Synset('sunglass.n.01'),12,11,6,0.04517529883961023
plunger,Synset('plunger.n.03'),29,10,6,0.045376421494465594
cucumber,Synset('cucumber.n.02'),21,10,6,0.04487375105777065
mustard,Synset('mustard.n.02'),20,10,6,0.044810917253183785
stopper,Synset('plug.n.01'),51,9,6,0.045891713172255294
pineapple,Synset('pineapple.n.02'),32,9,6,0.04469787088510481
